"","Country","Year","MMRatio","SKpersonnel","lower_bound","upper_bound","income"
"1729","Iran (Islamic Republic of)","1990",123,NA,98,171,"5620"
"1739","Iran (Islamic Republic of)","2000",51,NA,43,60,"8490"
"1757","Iraq","2011",NA,90.9,NA,NA,"13620"
"1760","Ireland","1990",11,NA,9,13,"12050"
"1770","Ireland","2000",9,NA,8,11,"24930"
"1783","Israel","1990",11,NA,10,13,"13100"
"1793","Israel","2000",8,NA,7,9,"21480"
"1807","Italy","1990",8,NA,7,9,"17360"
"1817","Italy","2000",5,NA,4,6,"25590"
"1830","Italy","2013",NA,99.9,NA,NA,"34100"
"1831","Jamaica","1990",79,NA,64,97,"4330"
"1841","Jamaica","2000",89,NA,79,100,"6210"
"1848","Jamaica","2011",NA,98.6,NA,NA,"8170"
"1851","Japan","1990",14,NA,12,15,"19370"
"1861","Japan","2000",10,NA,9,11,"26260"
"1875","Jordan","1990",110,NA,88,140,"4340"
"1885","Jordan","2000",77,NA,66,92,"6180"
"1897","Jordan","2012",NA,99.6,NA,NA,"11390"
"1906","Kazakhstan","2000",65,NA,57,75,"7170"
"1916","Kazakhstan","2010",NA,99.5,NA,NA,"16710"
"1920","Kenya","1990",687,NA,518,899,"1250"
"1930","Kenya","2000",759,NA,615,947,"1420"
"1944","Kiribati","1990",234,NA,169,330,"1600"
"1954","Kiribati","2000",166,NA,113,241,"2320"
"1963","Kiribati","2009",NA,79.8,NA,NA,"2430"
"1973","Kuwait","2000",7,NA,6,8,"75580"
"1985","Kyrgyzstan","1990",80,NA,71,90,"2250"
"1995","Kyrgyzstan","2000",74,NA,64,84,"1550"
"2009","Lao People's Democratic Republic","1990",905,NA,638,1230,"1050"
"2019","Lao People's Democratic Republic","2000",546,NA,417,720,"1770"
"2030","Lao People's Democratic Republic","2011",NA,40.1,NA,NA,"3840"
